year,type_activity,age_group,value,unit,source
2556,รับ-ส่ง อีเมล,รวม,9558053,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,6 - 10 ปี,163325,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,11 - 14 ปี,861689,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,15 - 19 ปี,1987962,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,20 - 24 ปี,1306856,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,25 - 29 ปี,1166595,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,30 - 34 ปี,1185144,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,35 - 39 ปี,924515,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,40 - 49 ปี,1189011,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,50 - 59 ปี,659256,คน,สำนักงานสถิติแห่งชาติ
2556,รับ-ส่ง อีเมล,60 ปีขึ้นไป,113700,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,รวม,10715358,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,6 - 10 ปี,113050,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,11 - 14 ปี,774358,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,15 - 19 ปี,1909578,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,20 - 24 ปี,1569909,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,25 - 29 ปี,1442856,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,30 - 34 ปี,1365609,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,35 - 39 ปี,1159524,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,40 - 49 ปี,1401816,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,50 - 59 ปี,831868,คน,สำนักงานสถิติแห่งชาติ
2557,รับ-ส่ง อีเมล,60 ปีขึ้นไป,146789,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,รวม,10959869,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,6 - 10 ปี,125771,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,11 - 14 ปี,658815,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,15 - 19 ปี,1813739,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,20 - 24 ปี,1597582,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,25 - 29 ปี,1535863,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,30 - 34 ปี,1454687,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,35 - 39 ปี,1184992,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,40 - 49 ปี,1520041,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,50 - 59 ปี,876552,คน,สำนักงานสถิติแห่งชาติ
2558,รับ-ส่ง อีเมล,60 ปีขึ้นไป,191826,คน,สำนักงานสถิติแห่งชาติ
2559,รับ-ส่ง อีเมล,รวม,10498973,คน,สำนักงานสถิติแห่งชาติ
